timeCNT,planningAngle::waist_yaw_joint,planningAngle::waist_pitch_joint,planningAngle::waist_roll_joint,planningAngle::left_shoulder_pitch_joint,planningAngle::left_shoulder_roll_joint,planningAngle::left_shoulder_yaw_joint,planningAngle::left_elbow_joint,planningAngle::left_wrist_yaw_joint,planningAngle::left_wrist_pitch_joint,planningAngle::left_wrist_roll_joint,planningAngle::right_shoulder_pitch_joint,planningAngle::right_shoulder_roll_joint,planningAngle::right_shoulder_yaw_joint,planningAngle::right_elbow_joint,planningAngle::right_wrist_yaw_joint,planningAngle::right_wrist_pitch_joint,planningAngle::right_wrist_roll_joint
340.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.27093333333333336,0.0,0.0,-1.0776,1.1688,0.0,0.0
350.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.29066666666666674,0.0,0.0,-1.0739999999999998,1.157,0.0,0.0
360.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.3104,0.0,0.0,-1.0704,1.1452,0.0,0.0
370.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.3301333333333334,0.0,0.0,-1.0668,1.1334,0.0,0.0
380.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.34986666666666666,0.0,0.0,-1.0632,1.1216,0.0,0.0
390.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.36960000000000004,0.0,0.0,-1.0595999999999999,1.1098000000000001,0.0,0.0
400.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.3893333333333333,0.0,0.0,-1.056,1.098,0.0,0.0
410.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.4090666666666667,0.0,0.0,-1.0524,1.0862,0.0,0.0
420.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.42880000000000007,0.0,0.0,-1.0488,1.0744,0.0,0.0
430.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.44853333333333334,0.0,0.0,-1.0452,1.0626,0.0,0.0
440.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.4682666666666667,0.0,0.0,-1.0415999999999999,1.0508000000000002,0.0,0.0
450.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.488,0.0,0.0,-1.038,1.0390000000000001,0.0,0.0
460.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.5077333333333334,0.0,0.0,-1.0344,1.0272000000000001,0.0,0.0
470.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.5274666666666668,0.0,0.0,-1.0308,1.0154,0.0,0.0
480.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.5472,0.0,0.0,-1.0272,1.0036,0.0,0.0
490.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.5669333333333334,0.0,0.0,-1.0236,0.9918,0.0,0.0
500.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.5866666666666667,0.0,0.0,-1.02,0.98,0.0,0.0
510.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.6063999999999999,0.0,0.0,-1.0164,0.9682000000000001,0.0,0.0
520.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.6261333333333333,0.0,0.0,-1.0128,0.9564,0.0,0.0
530.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.6458666666666667,0.0,0.0,-1.0091999999999999,0.9446,0.0,0.0
540.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.6656000000000001,0.0,0.0,-1.0056,0.9328000000000001,0.0,0.0
550.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.6853333333333335,0.0,0.0,-1.002,0.921,0.0,0.0
560.0,0.0,0.0,0.0,0.4,0.0,0.0,-1.2,-1.57,0.0,0.0,-0.7050666666666666,0.0,0.0,-0.9984,0.9092,0.0,0.0
