waist_yaw_joint,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,right_shoulder_pitch_joint,right_shoulder_roll_joint,right_shoulder_yaw_joint,right_elbow_joint
0.0,0.2,0.35,0.0,1.3,0.2,-0.35,-0.0,0.7
0.0015705379539064147,0.2109937656773449,0.34982729612800606,0.0015707317311820677,1.2998519681097194,0.18900623432265512,-0.34982729612800606,-0.0015707317311820677,0.7001480318902805
0.003139525976465669,0.2219766818352597,0.349309354949895,0.0031410759078128294,1.2994080185284815,0.17802331816474032,-0.349309354949895,-0.0031410759078128294,0.7005919814715185
0.004705415665925716,0.23293790966148,0.348446687611078,0.004710645070964266,1.298668589380924,0.16706209033852001,-0.348446687611078,-0.004710645070964266,0.701331410619076
0.006266661678215213,0.2438666317475065,0.34724014546006726,0.006279051952931338,1.2976344103943434,0.15613336825249352,-0.34724014546006726,-0.006279051952931338,0.7023655896056566
0.007821723252011544,0.2547520627640808,0.3456909192082982,0.007845909572784495,1.2963065021785414,0.14524793723591922,-0.3456909192082982,-0.007845909572784495,0.7036934978214586
0.00936906572928623,0.2655834601050036,0.34380053775504105,0.009410831331851431,1.2946861752186067,0.1344165398949964,-0.34380053775504105,-0.009410831331851431,0.7053138247813934
0.010907162069827128,0.27635013448878987,0.34157086667856157,0.010973431109104528,1.2927750285816242,0.12364986551121013,-0.34157086667856157,-0.010973431109104528,0.7072249714183758
0.01243449435824274,0.2870414605076992,0.3390041063950209,0.012533323356430426,1.2905749483385893,0.11295853949230084,-0.3390041063950209,-0.012533323356430426,0.7094250516614107
0.013949555301961465,0.2976468871137302,0.33610278998693005,0.014090123193758268,1.2880881057030829,0.10235311288626978,-0.33610278998693005,-0.014090123193758268,0.7119118942969171
0.01545084971874737,0.3081559480312316,0.3328697807033037,0.01564344650402309,1.2853169548885461,0.09184405196876842,-0.3328697807033037,-0.01564344650402309,0.7146830451114539
0.016936896012264568,0.31855827208585197,0.32930826913397887,0.017192910027940954,1.2822642306862675,0.08144172791414804,-0.32930826913397887,-0.017192910027940954,0.7177357693137324
0.018406227634233895,0.3288435934396373,0.325421770060888,0.01873813145857246,1.2789329457664753,0.07115640656036273,-0.325421770060888,-0.01873813145857246,0.7210670542335247
0.01985739453173903,0.3390017617221732,0.3212141189893934,0.02027872953565125,1.2753263877051944,0.0609982382778268,-0.3212141189893934,-0.02027872953565125,0.7246736122948056
0.021288964578253633,0.34902275204777544,0.31668946836310685,0.021814324139654256,1.2714481157398059,0.05097724795222458,-0.31668946836310685,-0.021814324139654256,0.7285518842601941
0.02269952498697734,0.35889667490884136,0.31185228346592875,0.023344536385590538,1.2673019572565103,0.04110332509115866,-0.31185228346592875,-0.023344536385590538,0.7326980427434897
0.024087683705085766,0.36861378593560035,0.3067073380153522,0.02486898871648548,1.262892004013159,0.03138621406439965,-0.3067073380153522,-0.02486898871648548,0.737107995986841
0.025452070787518568,0.37816449551263,0.30125970945138025,0.026387304996537294,1.2582226081011831,0.021835504487370067,-0.30125970945138025,-0.026387304996537294,0.7417773918988169
0.026791339748949834,0.38753937824264884,0.29551477392570524,0.02789911060392293,1.2532983776506046,0.012460621757351187,-0.29551477392570524,-0.02789911060392293,0.7467016223493954
0.02810416889260653,0.3967291822482457,0.2894782009960966,0.029404032523230397,1.2481241722823686,0.003270817751754307,-0.2894782009960966,-0.029404032523230397,0.7518758277176315
0.029389262614623657,0.4057248383023656,0.28315594803123156,0.03090169943749474,1.2427050983124843,-0.005724838302365587,-0.28315594803123156,-0.03090169943749474,0.7572949016875158
